actual,artifact_path,check,check_kind,expected,pass,present,step,summary_key
True,outputs/step74_candidate_descriptor_schema_audit/candidate_descriptor_schema.json,step74_candidate_descriptor_schema,required_artifact,True,True,True,74,candidate_descriptor_schema_audit_pass
True,outputs/step74_candidate_manifest_policy_audit/candidate_manifest_policy.json,step74_candidate_manifest_policy,required_artifact,True,True,True,74,candidate_manifest_policy_audit_pass
True,outputs/step74_real_geometry_quarantine_audit/real_geometry_quarantine.json,step74_real_geometry_quarantine,required_artifact,True,True,True,74,real_geometry_quarantine_audit_pass
True,outputs/step74_real_geometry_output_policy_audit/real_geometry_output_policy.json,step74_real_geometry_output_policy,required_artifact,True,True,True,74,real_geometry_output_policy_audit_pass
True,outputs/step74_full_activation_gate_coverage_audit/full_activation_gate_coverage.json,step74_full_activation_gate_coverage,required_artifact,True,True,True,74,full_activation_gate_coverage_audit_pass
True,outputs/step74_no_simulation_audit/no_simulation.json,step74_no_simulation,required_artifact,True,True,True,74,no_simulation_audit_pass
True,outputs/step74_step73_regression_guard/step73_regression_guard.json,step74_step73_regression_guard,required_artifact,True,True,True,74,step74_step73_regression_guard_pass
True,outputs/step74_artifact_manifest/artifact_summary.json,step74_artifact_manifest,required_artifact,True,True,True,74,artifact_budget_pass
False,outputs/step71_output_default_alignment_audit/output_default_alignment.json,fsidriver_default_write_vtk,step71_required_summary_value,False,True,True,71,fsidriver_default_write_vtk
False,outputs/step71_output_default_alignment_audit/output_default_alignment.json,fsidriver_default_write_particles,step71_required_summary_value,False,True,True,71,fsidriver_default_write_particles
True,outputs/step71_output_default_alignment_audit/output_default_alignment.json,explicit_opt_in_remains_allowed,step71_required_summary_value,True,True,True,71,explicit_true_write_vtk
preserve_legacy_external_solver_parameter_for_now,outputs/step71_tau_convention_decision_audit/tau_convention_decision.json,tau_convention_decision,step71_required_summary_value,preserve_legacy_external_solver_parameter_for_now,True,True,71,tau_convention_decision
tau_from_legacy_external_solver_parameter,outputs/step71_tau_convention_decision_audit/tau_convention_decision.json,default_solver_tau_formula,step71_required_summary_value,tau_from_legacy_external_solver_parameter,True,True,71,default_solver_tau_formula
False,outputs/step71_tau_convention_decision_audit/tau_convention_decision.json,standard_lattice_viscosity_is_default,step71_required_summary_value,False,True,True,71,standard_lattice_viscosity_is_default
False,outputs/step71_tau_convention_decision_audit/tau_convention_decision.json,physical_viscosity_validation_claim,step71_required_summary_value,False,True,True,71,physical_viscosity_validation_claim
True,outputs/step71_tau_convention_decision_audit/tau_convention_decision.json,future_standard_tau_migration_requires_baseline_rerun,step71_required_summary_value,True,True,True,71,future_standard_tau_migration_requires_baseline_rerun
