step,primary_artifact,primary_artifact_exists,evidence_kind,solver_time_integration_run,record_kind,scope_note,claim_boundary
36,STEP36_CONTROLLED_MOVING_WALL_BOUNCEBACK_VELOCITY_APPLICATION_SMOKE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
37,STEP37_CONTROLLED_MOVING_WALL_APPLICATION_SHORT_WINDOW_ENVELOPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
38,STEP38_CONTROLLED_TETHERED_JET_CYCLE_DIAGNOSTICS_PROTOTYPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
39,STEP39_CONTROLLED_JET_CYCLE_PROXY_MULTI_CYCLE_STABILITY_ENVELOPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
40,STEP40_CONTROLLED_JET_CYCLE_PROXY_PARAMETER_SENSITIVITY_SMOKE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
41,STEP41_CONTROLLED_JET_CYCLE_PROXY_SELECTED_PARAMETER_64_FEASIBILITY_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
42,STEP42_CONTROLLED_SQUID_PROXY_PRESCRIBED_GEOMETRY_DISPLACEMENT_DIAGNOSTICS_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
43,STEP43_CONTROLLED_SQUID_PROXY_GEOMETRY_MOTION_DRIVER_INTERFACE_CONTRACT_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
44,STEP44_CONTROLLED_SQUID_PROXY_DIAGNOSTIC_GEOMETRY_UPDATE_SMOKE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
45,STEP45_CONTROLLED_RUNTIME_GEOMETRY_PROJECTION_INTEGRATION_SMOKE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
46,STEP46_CONTROLLED_RUNTIME_GEOMETRY_WALL_VELOCITY_ONE_STEP_COUPLING_SMOKE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
47,STEP47_CONTROLLED_RUNTIME_GEOMETRY_WALL_VELOCITY_SHORT_STEP_COUPLING_ENVELOPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
48,STEP48_CONTROLLED_RUNTIME_GEOMETRY_WALL_VELOCITY_10STEP_COUPLING_ENVELOPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
49,STEP49_CONTROLLED_RUNTIME_GEOMETRY_WALL_VELOCITY_20STEP_COUPLING_ENVELOPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
50,STEP50_CONTROLLED_RUNTIME_GEOMETRY_WALL_VELOCITY_ONE_CYCLE_COUPLING_DIAGNOSTIC_ENVELOPE_REPORT.md,True,proxy_diagnostic,False,proxy_diagnostic_record,"config-declared one-cycle proxy diagnostics, no driver instance","proxy diagnostic only, not solver time integration"
51,STEP51_CONTROLLED_RUNTIME_GEOMETRY_WALL_VELOCITY_TRANSFER_COMPARISON_REPORT.md,True,proxy_diagnostic,False,proxy_diagnostic_record,"config-declared transfer comparison proxy diagnostics, no driver instance","proxy diagnostic only, not solver time integration"
52,STEP52_CONTROLLED_48_ENGINEERING_ONE_CYCLE_FEASIBILITY_REPORT.md,True,proxy_diagnostic,False,proxy_diagnostic_record,"config-declared 48-grid proxy diagnostics, no driver instance","proxy diagnostic only, not solver time integration"
53,STEP53_CONTROLLED_48_SUPPORT_SCALING_ACTIVE_CELL_SEMANTICS_REPORT.md,True,post_processing_audit,False,post_processing_audit_record,post-processing audit over committed Step 51 and Step 52 artifacts,"artifact audit only, no new solver rows"
54,STEP54_REPOSITORY_EVIDENCE_INTEGRITY_REPAIR_REPORT.md,True,evidence_integrity_repair,False,repository_evidence_integrity_record,"repository evidence index, claim guard, and semantics repair","evidence repair only, no new physics scope"
